accel,angle,brake,clutch,curLapTime,damage,distFromStart,distRaced,focus,focus_0,focus_1,focus_2,focus_3,focus_4,fuel,gear,lastLapTime,meta,opponents_0,opponents_1,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_2,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_3,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,racePos,rpm,speedX,speedY,speedZ,steer,trackPos,track_0,track_1,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z
1.0,-0.0709847,0.0,0.0,31.346,1,1799.67,4877.23,0,-1,-1,-1,-1,-1,48.6869,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6638.76,215.712,-11.1636,-1.1565,0.0,0.0575684,14.1729,14.4031,141.319,95.0423,67.857,51.7174,34.7691,23.8783,19.0574,16.7631,15.9028,15.7563,18.8537,25.8088,36.585,47.6291,72.4476,200,200,183.577,186.407,180.433,179.997,0.488209
1.0,-0.0710462,0.0,0.0,31.368,1,1800.99,4878.55,0,-1,-1,-1,-1,-1,48.6866,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6635.75,215.742,-10.8297,-1.24418,0.0,0.0593384,14.1463,14.3759,141.486,95.1815,67.9668,51.8042,34.8289,23.9193,19.0899,16.7914,15.9294,15.7263,18.8169,25.7568,36.5066,47.5187,72.2374,200,200,183.504,186.232,180.421,180.054,0.488045
1.0,-0.0708297,0.0,0.0,31.39,1,1802.31,4879.87,0,-1,-1,-1,-1,-1,48.6862,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6634.76,215.773,-10.4552,-1.33883,0.0,0.0612427,14.1175,14.3474,141.478,95.2181,68.0185,51.8579,34.8751,23.9561,19.1214,16.8203,15.9578,15.6959,18.7822,25.712,36.4484,47.4496,72.1486,200,200,183.465,186.272,180.416,180.108,0.487932
1.0,-0.0703376,0.0,0.0,31.412,1,1803.63,4881.19,0,-1,-1,-1,-1,-1,48.6859,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6634.83,215.807,-10.0351,-1.43246,0.0,0.0632813,14.0863,14.3176,141.292,95.152,68.0122,51.877,34.9078,23.9884,19.1517,16.8497,15.9879,15.6657,18.7494,25.6749,36.4102,47.4194,72.1808,200,200,183.511,186.228,180.414,180.165,0.487462
1.0,-0.0695742,0.0,0.0,31.434,1,1804.95,4882.51,0,-1,-1,-1,-1,-1,48.6856,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6633.03,215.845,-9.57187,-1.52131,0.0,0.0654541,14.0529,14.2865,140.938,94.9847,67.9501,51.8628,34.927,24.0167,19.1811,16.8798,16.0197,15.6352,18.7184,25.6449,36.3922,47.4284,72.3324,200,200,183.525,186.12,180.416,180.222,0.487355
1.0,-0.0685671,0.0,0.0,31.456,1,1806.27,4883.83,0,-1,-1,-1,-1,-1,48.6852,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6632.6,215.885,-9.07181,-1.60096,0.0,0.0677368,14.0175,14.2545,140.431,94.7295,67.8366,51.8191,34.9338,24.0411,19.2094,16.9102,16.0529,15.6047,18.6892,25.6217,36.3918,47.4729,72.596,200,200,183.497,186.104,180.423,180.28,0.486625
1.0,-0.0673049,0.0,0.0,31.478,1,1807.6,4885.16,0,-1,-1,-1,-1,-1,48.6849,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6630.24,215.929,-8.53588,-1.67614,0.0,0.0701294,13.9803,14.2214,139.768,94.3812,67.671,51.7439,34.9275,24.061,19.2365,16.9409,16.0876,15.5744,18.6622,25.6056,36.4112,47.5567,72.984,200,200,183.585,185.934,180.432,180.341,0.486274
1.0,-0.0658153,0.0,0.0,31.5,1,1808.92,4886.48,0,-1,-1,-1,-1,-1,48.6846,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6629.47,215.973,-7.97504,-1.74692,0.0,0.0726359,13.9412,14.1874,138.968,93.9542,67.46,51.642,34.9105,24.0776,19.2626,16.9722,16.1237,15.5441,18.6366,25.5958,36.4472,47.6751,73.4859,200,200,183.536,185.905,180.445,180.402,0.485889
1.0,-0.0641354,0.0,0.0,31.522,1,1810.24,4887.8,0,-1,-1,-1,-1,-1,48.6842,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6627.84,216.02,-7.39621,-1.81742,0.0,0.0752401,13.9006,14.1524,138.059,93.4632,67.2133,51.5188,34.8847,24.0913,19.2882,17.0039,16.1611,15.5135,18.6124,25.5912,36.4983,47.8228,74.0927,200,200,183.551,185.782,180.463,180.46,0.485629
1.0,-0.0622914,0.0,0.0,31.544,1,1811.56,4889.12,0,-1,-1,-1,-1,-1,48.6839,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6625.46,216.067,-6.80574,-1.87374,0.0,0.0779256,13.8585,14.1166,137.062,92.9213,66.936,51.3772,34.8513,24.1025,19.3131,17.0359,16.1996,15.4828,18.5891,25.5906,36.5615,47.9975,74.7996,200,200,183.582,185.671,180.486,180.517,0.48505
1.0,-0.0602801,0.0,0.0,31.566,1,1812.89,4890.45,0,-1,-1,-1,-1,-1,48.6835,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6625.76,216.114,-6.20775,-1.93407,0.0,0.0806803,13.8154,14.0803,135.972,92.3252,66.6286,51.2169,34.8098,24.1111,19.3373,17.0682,16.2391,15.4523,18.5672,25.5952,36.6391,48.2012,75.6203,200,200,183.702,185.504,180.51,180.573,0.484423
1.0,-0.058132,0.0,0.0,31.588,1,1814.21,4891.77,0,-1,-1,-1,-1,-1,48.6832,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6623.84,216.163,-5.6076,-1.98111,0.0,0.0835042,13.7711,14.0434,134.814,91.6911,66.298,51.0427,34.7624,24.1176,19.361,17.1008,16.2795,15.4217,18.5464,25.6037,36.728,48.4303,76.5465,200,200,183.669,185.46,180.536,180.628,0.483824
1.0,-0.055888,0.0,0.0,31.61,1,1815.53,4893.09,0,-1,-1,-1,-1,-1,48.6829,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6622.3,216.211,-5.01503,-2.02876,0.0,0.086377,13.7262,14.006,133.615,91.0333,65.9541,50.8596,34.7111,24.1228,19.3845,17.1338,16.3206,15.391,18.5261,25.6149,36.8253,48.6791,77.5697,200,199.397,183.714,185.295,180.567,180.679,0.483169
1.0,-0.0535649,0.0,0.0,31.632,1,1816.86,4894.42,0,-1,-1,-1,-1,-1,48.6825,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6620.95,216.259,-4.43355,-2.06224,0.0,0.0892904,13.6806,13.9682,132.387,90.3584,65.5991,50.67,34.6564,24.127,19.4076,17.1669,16.3623,15.3603,18.5065,25.6286,36.9308,48.9453,78.6908,200,197.561,183.762,185.17,180.6,180.728,0.482218
1.0,-0.0511735,0.0,0.0,31.654,1,1818.18,4895.74,0,-1,-1,-1,-1,-1,48.6822,6,70.568,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,6619.66,216.305,-3.86517,-2.07947,0.0,0.0922282,13.6348,13.9304,131.135,89.6709,65.2357,50.4747,34.5991,24.13,19.4304,17.2001,16.4044,15.3298,18.4876,25.6449,37.0431,49.2286,79.9155,200,195.685,183.814,185.071,180.634,180.774,0.481644
