accel,angle,brake,clutch,curLapTime,damage,distFromStart,distRaced,focus,focus_0,focus_1,focus_2,focus_3,focus_4,fuel,gear,lastLapTime,meta,opponents_0,opponents_1,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_2,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_3,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,racePos,rpm,speedX,speedY,speedZ,steer,trackPos,track_0,track_1,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z
1.0,-0.0135964,0.0,0.0,0.642,1,2877.77,0.141846,0,-1,-1,-1,-1,-1,49.9994,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,3.24068,0.249561,0.0186936,0.0,0.0245036,14.6338,15.095,200,95.9017,62.5556,46.6797,31.4793,22.0346,17.887,15.9693,15.369,16.766,20.4177,28.5942,41.2455,53.81,78.2392,145.318,200,0.36342,10.6068,3.41067,1.66504,0.468573
1.0,-0.0138648,0.0,0.0,0.662,1,2877.79,0.160645,0,-1,-1,-1,-1,-1,49.9993,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,3.44584,0.220695,0.0542111,0.0,0.0246067,14.6323,15.0924,200,96.0703,62.6282,46.7204,31.4976,22.0429,17.8916,15.9721,15.3706,16.7617,20.4102,28.5783,41.212,53.7533,78.121,144.919,200,0.596951,10.5041,2.18663,3.61624,0.469076
1.0,-0.0141113,0.0,0.0,0.682,1,2877.81,0.18042,0,-1,-1,-1,-1,-1,49.9993,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,3.66093,0.23477,0.0717766,0.0,0.0247099,14.6308,15.0899,200,96.2264,62.6956,46.7582,31.5147,22.0507,17.8961,15.9749,15.3722,16.7577,20.4031,28.5634,41.1809,53.7008,78.0118,144.553,200,0.580154,10.707,3.50427,2.53819,0.470021
1.0,-0.0143717,0.0,0.0,0.702,1,2877.83,0.201416,0,-1,-1,-1,-1,-1,49.9993,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,3.89142,0.213916,0.0764333,0.0,0.024814,14.6293,15.0873,200,96.3912,62.7666,46.798,31.5326,22.0589,17.9007,15.9777,15.3738,16.7534,20.3958,28.5479,41.1483,53.6458,77.8973,144.168,200,1.48923,8.84639,2.77269,3.42278,0.470861
1.0,-0.0146268,0.0,0.0,0.722,1,2877.85,0.223633,0,-1,-1,-1,-1,-1,49.9992,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,4.07126,0.236578,0.0852221,0.0,0.0249177,14.6278,15.0847,200,96.5534,62.8364,46.8371,31.5502,22.0669,17.9052,15.9804,15.3754,16.7493,20.3886,28.5327,41.1164,53.5918,77.7852,143.793,200,1.72882,10.2865,4.24893,2.98337,0.471543
1.0,-0.0149782,0.0,0.0,0.742,1,2877.88,0.246826,0,-1,-1,-1,-1,-1,49.9992,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,4.27938,0.237051,0.0815809,0.0,0.0250284,14.6262,15.0816,200,96.7747,62.9308,46.8895,31.5735,22.0773,17.9109,15.9838,15.3772,16.7441,20.3793,28.5126,41.0737,53.5193,77.6337,143.285,200,2.16147,10.4212,2.97534,4.2268,0.472619
1.0,-0.0152586,0.0,0.0,0.762,1,2877.9,0.27124,0,-1,-1,-1,-1,-1,49.9992,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,4.51663,0.23846,0.0802489,0.0,0.0251408,14.6246,15.0788,200,96.9543,63.0078,46.9326,31.5928,22.0861,17.9159,15.9868,15.3789,16.7395,20.3714,28.496,41.0388,53.4604,77.5116,142.878,200,1.66827,9.77024,4.32469,3.11815,0.473438
1.0,-0.0156158,0.0,0.0,0.782,1,2877.93,0.296875,0,-1,-1,-1,-1,-1,49.9991,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,4.70303,0.236816,0.0549464,0.0,0.025257,14.6229,15.0757,200,97.1813,63.1044,46.9863,31.6167,22.0967,17.9217,15.9902,15.3807,16.7342,20.362,28.4756,40.9956,53.3871,77.3586,142.366,200,3.27754,9.5172,3.62872,4.33558,0.474333
1.0,-0.0158947,0.0,0.0,0.802,1,2877.95,0.323975,0,-1,-1,-1,-1,-1,49.9991,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,4.93809,0.208996,0.0341728,0.0,0.0253689,14.6213,15.0729,200,97.3614,63.1815,47.0293,31.636,22.1055,17.9267,15.9932,15.3825,16.7297,20.3541,28.4591,40.9609,53.3287,77.2377,141.967,200,3.71421,8.42236,4.12501,3.54734,0.474959
1.0,-0.0161794,0.0,0.0,0.822,1,2877.98,0.351807,0,-1,-1,-1,-1,-1,49.999,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,5.11835,0.221563,0.0205585,0.0,0.0254775,14.6198,15.0701,200,97.5453,63.26,47.073,31.6555,22.1143,17.9316,15.9962,15.3842,16.7252,20.3462,28.4424,40.9259,53.2696,77.1153,141.561,200,3.20738,10.1304,5.43421,2.53771,0.47561
1.0,-0.0164841,0.0,0.0,0.842,1,2878.01,0.381104,0,-1,-1,-1,-1,-1,49.999,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,5.31818,0.234974,-0.000901614,0.0,0.0255959,14.618,15.0672,200,97.7431,63.3443,47.12,31.6766,22.1238,17.937,15.9995,15.386,16.7203,20.3378,28.4245,40.8883,53.2063,76.9844,141.13,200,3.30479,9.18645,6.12227,6.04338,0.476228
1.0,-0.0167835,0.0,0.0,0.862,1,2878.04,0.411377,0,-1,-1,-1,-1,-1,49.999,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,5.58275,0.238865,-0.022738,0.0,0.0257178,14.6163,15.0641,200,97.9387,63.4277,47.1665,31.6974,22.1333,17.9423,16.0027,15.3879,16.7155,20.3293,28.4067,40.8513,53.1439,76.8557,140.708,200,2.93682,10.6487,4.67975,3.15941,0.476532
1.0,-0.0170668,0.0,0.0,0.882,1,2878.07,0.442871,0,-1,-1,-1,-1,-1,49.9989,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,5.79259,0.242398,-0.0503058,0.0,0.0258435,14.6145,15.0611,200,98.1254,63.5073,47.2109,31.7174,22.1425,17.9476,16.006,15.3899,16.7107,20.3211,28.3897,40.8158,53.0845,76.7336,140.309,200,3.04663,11.6647,3.41466,2.77066,0.476999
1.0,-0.0173782,0.0,0.0,0.902,1,2878.11,0.475586,0,-1,-1,-1,-1,-1,49.9989,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,5.98085,0.235955,-0.0614571,0.0,0.0259704,14.6127,15.058,200,98.3304,63.5946,47.2595,31.7392,22.1524,17.9532,16.0094,15.3919,16.7056,20.3124,28.3712,40.7773,53.0199,76.6007,139.875,200,3.27456,11.1497,4.33777,3.26052,0.477094
1.0,-0.0177048,0.0,0.0,0.922,1,2878.14,0.509277,0,-1,-1,-1,-1,-1,49.9989,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1047.2,6.14596,0.2461,-0.0816844,0.0,0.026103,14.6107,15.0547,200,98.5462,63.6862,47.3105,31.762,22.1628,17.959,16.013,15.394,16.7003,20.3032,28.352,40.7372,52.9524,76.4617,139.422,200,4.01691,10.1166,5.84124,6.60348,0.477386
