accel,angle,brake,clutch,curLapTime,damage,distFromStart,distRaced,focus,focus_0,focus_1,focus_2,focus_3,focus_4,fuel,gear,lastLapTime,meta,opponents_0,opponents_1,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_2,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_3,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,racePos,rpm,speedX,speedY,speedZ,steer,trackPos,track_0,track_1,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z
1.0,0.0502374,0.0,0.0,0.48,3,2877.86,0.230225,0,-1,-1,-1,-1,-1,54.9988,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1151.92,6.20769,0.114159,0.0927573,0.0,0.00697727,14.9142,15.6511,110.196,67.7696,49.2012,38.8518,27.8243,20.3643,16.9707,15.4491,15.1237,17.7362,22.2084,32.6738,50.5955,70.9345,120.147,200,200,5.59851,6.72013,4.99252,7.20909,0.328019
1.0,0.0502049,0.0,0.0,0.502,3,2877.9,0.269775,0,-1,-1,-1,-1,-1,54.9987,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1223.43,6.74069,0.120402,0.100877,0.0,0.0068915,14.9154,15.6523,110.212,67.7735,49.202,38.8515,27.8234,20.3631,16.9696,15.4479,15.1224,17.7374,22.2096,32.6745,50.5945,70.9299,120.126,200,200,5.81054,5.91557,6.4023,8.86197,0.328176
0.925,0.0502436,0.0,0.0,0.522,3,2877.94,0.308594,0,-1,-1,-1,-1,-1,54.9986,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1267.62,7.22709,0.106753,0.0953099,0.0,0.00680091,14.9168,15.6539,110.172,67.7558,49.1916,38.8444,27.8192,20.3606,16.9677,15.4464,15.1211,17.7395,22.2125,32.68,50.6055,70.9491,120.175,200,200,6.09296,6.70671,8.77382,7.17283,0.328472
0.8500000000000001,0.0503685,0.0,0.0,0.542,3,2877.98,0.350342,0,-1,-1,-1,-1,-1,54.9986,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1339.82,7.71409,0.103547,0.0871153,0.0,0.00669982,14.9184,15.6562,110.061,67.7121,49.1677,38.829,27.811,20.3563,16.9649,15.4444,15.1197,17.7427,22.2179,32.6913,50.6311,70.9977,120.307,200,200,8.77434,7.41122,8.43364,6.4234,0.328505
0.7750000000000001,0.0502688,0.0,0.0,0.562,3,2878.03,0.394775,0,-1,-1,-1,-1,-1,54.9985,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1323.73,8.20447,0.123057,0.0905683,0.0,0.0065939,14.9199,15.6573,110.129,67.7345,49.1777,38.8341,27.8124,20.356,16.964,15.4431,15.118,17.7435,22.2178,32.6884,50.6201,70.9721,120.224,200,200,7.07539,8.15235,6.75891,9.19394,0.328518
0.7000000000000002,0.0503136,0.0,0.0,0.582,3,2878.07,0.44165,0,-1,-1,-1,-1,-1,54.9984,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1457.87,8.62231,0.121057,0.0784589,0.0,0.00648149,14.9217,15.6593,110.081,67.7137,49.1654,38.8256,27.8073,20.3529,16.9617,15.4413,15.1164,17.746,22.2214,32.695,50.6333,70.9951,120.281,200,200,8.88716,8.61365,9.88947,6.7414,0.3289
0.6250000000000002,0.0503504,0.0,0.0,0.602,3,2878.12,0.490723,0,-1,-1,-1,-1,-1,54.9983,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1472.01,9.03777,0.14296,0.0688684,0.0,0.00636654,14.9234,15.6613,110.039,67.6951,49.1542,38.8178,27.8026,20.3499,16.9595,15.4394,15.1147,17.7485,22.2249,32.7011,50.6452,71.0155,120.33,200,200,7.8274,9.40186,7.12825,10.433,0.328705
0.5500000000000003,0.0504176,0.0,0.0,0.622,3,2878.17,0.541992,0,-1,-1,-1,-1,-1,54.9983,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1522.71,9.40438,0.149348,0.0723698,0.0,0.00624733,14.9253,15.6635,109.973,67.6672,49.1381,38.8071,27.7964,20.3462,16.9569,15.4373,15.1129,17.7514,22.2292,32.7093,50.6623,71.0462,120.409,200,200,9.27251,8.65391,10.9225,7.14059,0.328389
0.47500000000000026,0.0503737,0.0,0.0,0.642,3,2878.23,0.595215,0,-1,-1,-1,-1,-1,54.9982,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1572.19,9.71855,0.147119,0.0759911,0.0,0.00612431,14.9271,15.6653,109.994,67.6719,49.1388,38.8063,27.7949,20.3445,16.9552,15.4356,15.111,17.7531,22.2309,32.7106,50.6613,71.0405,120.382,200,200,8.35953,9.84959,8.57489,11.0466,0.328634
0.5250000000000002,0.0503194,0.0,0.0,0.662,3,2878.28,0.649902,0,-1,-1,-1,-1,-1,54.9982,1,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,1603.19,10.0245,0.148673,0.0750157,0.0,0.00599416,14.929,15.667,110.023,67.6792,49.1407,38.8063,27.7937,20.3429,16.9535,15.4338,15.109,17.7547,22.2324,32.7113,50.659,71.0318,120.345,200,200,10.858,7.83038,10.9838,8.44442,0.328366
